x_m,y_m,theta_rad
4.71375726745747,5.1459775193814,0.323042701035116
4.75864413702057,5.16800407019684,0.292533797415647
4.80353100658367,5.19003062101229,0.262024893796179
4.84841787614676,5.21205717182774,0.231515990176711
4.89330474570986,5.23408372264319,0.201007086557242
4.93878272448232,5.25429877456139,0.17154439972109
4.98802216916155,5.26298652960399,0.148739211531949
5.03726161384079,5.2716742846466,0.125934023342809
5.08650105852003,5.2803620396892,0.103128835153668
5.13574050319927,5.2890497947318,0.0803236469645282
5.18497994787851,5.2977375497744,0.0575184587753875
5.23421939255774,5.30642530481701,0.0347132705862473
5.28345883723698,5.31511305985961,0.011908082397107
5.33269828191622,5.32380081490221,-0.0108971057920332
5.38193772659546,5.33248856994481,-0.0337022939811735
5.4316371149613,5.33425801051911,-0.0510938420911664
5.48159328810729,5.33216498290137,-0.0654629758971181
5.53154946125327,5.33007195528362,-0.0798321097030698
5.58150563439925,5.32797892766588,-0.0942012435090214
5.63146180754523,5.32588590004814,-0.108570377314973
5.68141798069122,5.3237928724304,-0.122939511120925
5.7313741538372,5.32169984481265,-0.137308644926877
5.78133032698318,5.31960681719491,-0.151677778732828
5.83128650012916,5.31751378957717,-0.16604691253878
5.88124267327515,5.31542076195942,-0.180416046344732
5.93063446729694,5.30836796153639,-0.190960438280321
5.97978371407117,5.2991836520073,-0.19986111135114
6.02893296084539,5.28999934247821,-0.20876178442196
6.07808220761962,5.28081503294911,-0.21766245749278
6.12723145439384,5.27163072342002,-0.2265631305636
6.17638070116807,5.26244641389093,-0.23546380363442
6.2255299479423,5.25326210436183,-0.244364476705239
6.27467919471652,5.24407779483274,-0.253265149776059
6.32382844149075,5.23489348530365,-0.262165822846879
6.37297768826498,5.22570917577455,-0.271066495917699
6.4214406298139,5.21358496657424,-0.269608604843041
6.46957624459938,5.20005860012852,-0.263210294912995
6.51771185938486,5.1865322336828,-0.25681198498295
6.56584747417034,5.17300586723708,-0.250413675052904
6.61398308895582,5.15947950079136,-0.244015365122859
6.6621187037413,5.14595313434564,-0.237617055192813
6.71025431852678,5.13242676789992,-0.231218745262768
6.75838993331226,5.1189004014542,-0.224820435332722
6.80652554809773,5.10537403500848,-0.218422125402676
6.85466116288321,5.09184766856276,-0.212023815472631
6.90345487949396,5.0809808247271,-0.181993062870483
6.95234371675797,5.0704983826942,-0.148546526724151
7.00123255402199,5.06001594066131,-0.11509999057782
7.050121391286,5.04953349862841,-0.0816534544314882
7.09901022855001,5.03905105659552,-0.0482069182851562
7.14789906581402,5.02856861456262,-0.0147603821388254
7.19678790307803,5.01808617252972,0.0186861540075066
7.24567674034204,5.00760373049683,0.0521326901538374
7.29456557760605,4.99712128846393,0.0855792263001694
7.34399150181344,4.99614728480657,0.130338957196823
7.39374980430049,5.00105761408347,0.18209990131396
7.44350810678754,5.00596794336036,0.2338608454311
7.49326640927458,5.01087827263725,0.285621789548237
7.54302471176163,5.01578860191415,0.337382733665377
7.59278301424868,5.02069893119104,0.389143677782516
7.64254131673573,5.02560926046794,0.440904621899653
7.69229961922277,5.03051958974483,0.492665566016793
7.74205792170982,5.03542991902172,0.54442651013393
7.78493534522741,5.06097394662274,0.588211827204234
7.82768144470874,5.08691177573645,0.631844926579655
7.87042754419007,5.11284960485016,0.675478025955075
7.9131736436714,5.13878743396387,0.719111125330496
7.95591974315273,5.16472526307759,0.762744224705916
7.99866584263406,5.1906630921913,0.806377324081337
8.0414119421154,5.21660092130501,0.850010423456758
8.08415804159673,5.24253875041873,0.893643522832178
8.12431226274042,5.27133280206822,0.933295126631707
8.15426662692823,5.3113669882858,0.957278292312485
8.18422099111604,5.35140117450339,0.981261457993263
8.21417535530385,5.39143536072097,1.00524462367404
8.24412971949165,5.43146954693855,1.02922778935482
8.27408408367946,5.47150373315614,1.0532109550356
8.30403844786727,5.51153791937372,1.07719412071638
8.33399281205508,5.5515721055913,1.10117728639716
8.36394717624289,5.59160629180889,1.12516045207793
8.3939015404307,5.63164047802647,1.14914361775871
8.41712545736296,5.67560206888201,1.16218986971026
8.43724279074208,5.72137643832293,1.1701879524951
8.45736012412119,5.76715080776385,1.17818603527995
8.4774774575003,5.81292517720477,1.1861841180648
8.49759479087941,5.85869954664568,1.19418220084965
8.51771212425852,5.9044739160866,1.20218028363449
8.53782945763764,5.95024828552752,1.21017836641934
8.55794679101675,5.99602265496844,1.21817644920419
8.57806412439586,6.04179702440936,1.22617453198904
8.59818145777498,6.08757139385027,1.23417261477389
8.61654067576649,6.13403415131313,1.23847558844855
8.63285255929392,6.18129854018877,1.23847558844855
8.64916444282135,6.22856292906441,1.23847558844855
8.66547632634878,6.27582731794005,1.23847558844855
8.68178820987622,6.32309170681568,1.23847558844855
8.69810009340365,6.37035609569132,1.23847558844855
8.71441197693108,6.41762048456696,1.23847558844855
8.73072386045851,6.4648848734426,1.23847558844855
8.74703574398594,6.51214926231824,1.23847558844855
8.76334762751337,6.55941365119387,1.23847558844855
8.7796595110408,6.60667804006951,1.23847558844855
